rxn_id,rxn_type,rxn_date,temperature_deg_c,time_h,startingmat_1_name,startingmat_1_smiles,startingmat_1_eq,startingmat_2_name,startingmat_2_smiles,startingmat_2_eq,reagent_1_name,reagent_1_smiles,reagent_1_eq,catalyst_name,catalyst_smiles,catalyst_eq,solvent_1_name,solvent_1_smiles,solvent_1_fraction,startingmat_1_area%,product_1_name,product_1_smiles,product_1_area%,contains_water,additives_name_merged,additives_smiles_merged,additives_fraction_merged,YieldCategory
ELN032036-538_1_1_B9,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1826130658944465,KOH,[OH-].[K+],2.026193306519994,IPENT Cl,CCC(CC)c1cccc(C(CC)CC)c1N2C(=C(Cl)N(C2=[Pd](Cl)Cl)c3c(cccc3C(CC)CC)C(CC)CC)Cl.Cc4ccccn4,0.0671841318726258,Dioxane,C1COCCO1,1.0,0.1936288154798122,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.6220729795133328,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_B10,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1950820496755652,KOH,[OH-].[K+],1.9567827498710757,P(tBu)3,Cl[Pd](C/C=C/C)[P](C(C)(C)C)(C(C)(C)C)C(C)(C)C,0.0781603824227565,Dioxane,C1COCCO1,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.8839887715584864,True,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_G1,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1803909887217363,NaOtBu,[Na+].CC(C)(C)[O-],1.9099234954900697,GPhos,COc1ccc(OC(C)(C)C)c2c1[C]3(=C(C=CC=C3C(C)C)C(C)C)[Pd](Br)(c4ccc(cc4)C(F)(F)F)P2(C5CCCCC5)C6CCCCC6,0.0820987263459893,tAmOH,CCC(C)(C)O,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.7399494290736808,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_G4,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1540843196378103,NaOtBu,[Na+].CC(C)(C)[O-],1.8969972087621076,BrettPhos,C/C=C/C[Pd](OS(=O)(C(F)(F)F)=O)[P](C1=C(C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)C(OC)=CC=C1OC)(C3CCCCC3)C4CCCCC4,0.0725256704389441,tAmOH,CCC(C)(C)O,1.0,0.0039819896981654,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.7546035621571415,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_G6,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1865385382697895,NaOtBu,[Na+].CC(C)(C)[O-],2.1116366865557152,XPhos,CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CC(C)c3cc(C(C)C)c(c(c3)C(C)C)-c4ccccc4P(C(C)(C)C)C(C)(C)C,0.0747832987554056,tAmOH,CCC(C)(C)O,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.7381966063404011,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_G7,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1521349187398038,NaOtBu,[Na+].CC(C)(C)[O-],1.872515313889788,IHept,CCCC(CCC)c1cccc(C(CCC)CCC)c1N2C(=C(Cl)N(C2=[Pd](Cl)Cl)c3c(cccc3C(CCC)CCC)C(CCC)CCC)Cl.Clc4cccnc4,0.074840206515731,tAmOH,CCC(C)(C)O,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.9135617399814672,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_G8,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.0513175917744202,NaOtBu,[Na+].CC(C)(C)[O-],1.8380161791140583,CataCXiumA,CCCCP(C12CC3CC(CC(C3)C1)C2)C45CC6CC(CC(C6)C4)C5.Cl[Pd]CC=C,0.0701780361924859,tAmOH,CCC(C)(C)O,1.0,0.0316395754235843,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.7235237217957214,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_G9,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.1803909887217363,NaOtBu,[Na+].CC(C)(C)[O-],1.8755893353086837,IPENT Cl,CCC(CC)c1cccc(C(CC)CC)c1N2C(=C(Cl)N(C2=[Pd](Cl)Cl)c3c(cccc3C(CC)CC)C(CC)CC)Cl.Cc4ccccn4,0.0687382134727903,tAmOH,CCC(C)(C)O,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.8993690013420881,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_G10,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2341097285971416,NaOtBu,[Na+].CC(C)(C)[O-],1.8958564337582844,P(tBu)3,Cl[Pd](C/C=C/C)[P](C(C)(C)C)(C(C)(C)C)C(C)(C)C,0.0963437644375872,tAmOH,CCC(C)(C)O,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.8960605588106714,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
ELN032036-538_1_1_G11,Buchwald-Hartwig,02/04/2024,60.0,4.0,4-(4-bromophenyl)morpholine,C1COCCN1C2=CC=C(C=C2)Br,1,NPP-naphthyridine,C1(N=CC=C2)=C2NCCC1,1.2647020909853328,NaOtBu,[Na+].CC(C)(C)[O-],2.020041242338259,XantPhos,CC1(C)C2=CC=CC3=C2OC4=C1C=CC=C4[P]([Pd](Cl)(CC=C)[P](C5=CC=CC=C5)3C6=CC=CC=C6)(C7=CC=CC=C7)C8=CC=CC=C8,0.0750467452620202,tAmOH,CCC(C)(C)O,1.0,0.0,HTE internal NPP-naphthyridrine phenyl morpholine,C1CN(c2ccc(cc2)N2CCOCC2)c2cccnc2C1,0.8096176054826436,False,NoAdditive,NoAdditive,"frozenset({nan, nan})",HighYield
