feature,importance
product_1_smiles_emb_353,0.04487112438514249
product_1_smiles_emb_0,0.0430907410514431
product_1_smiles_emb_748,0.034729678509836916
product_1_smiles_emb_350,0.02532824281274618
product_1_smiles_emb_654,0.020889180906214822
product_1_smiles_emb_1,0.018962826284517887
product_1_smiles_emb_515,0.018187105000564162
startingmat_1_smiles_emb_187,0.015609291584586056
product_1_smiles_emb_490,0.01551724858664736
product_1_smiles_emb_435,0.014362913202805073
startingmat_2_smiles_emb_231,0.013685914187330903
product_1_smiles_emb_185,0.012402710968468808
catalyst_emb_244,0.008100486817674979
base_emb_210,0.007678338214417527
base_emb_173,0.007540730433091391
base_emb_216,0.007396753573718589
product_1_smiles_emb_728,0.006718939328724496
startingmat_1_smiles_emb_186,0.0065542754357500515
base_emb_196,0.0064202539628712635
base_emb_576,0.006261004020049922
base_emb_163,0.006229371789734093
product_1_smiles_emb_36,0.006098885186346329
solvent_1_emb_197,0.005733644825412952
catalyst_emb_246,0.00548163563615501
product_1_smiles_emb_549,0.005453993042466796
product_1_smiles_emb_674,0.005286248657448857
base_emb_203,0.005245408074572902
catalyst_emb_124,0.005087505676531625
solvent_1_emb_149,0.004925629619114318
catalyst_emb_250,0.004814768146631356
solvent_1_emb_172,0.004617534041766295
product_1_smiles_emb_731,0.004462385576333668
catalyst_emb_249,0.004432045554950948
base_emb_223,0.004181654354682834
base_emb_189,0.004114805534049142
product_1_smiles_emb_509,0.00410341414335775
base_emb_220,0.004056036136759887
solvent_1_emb_181,0.004010527468597528
solvent_1_emb_156,0.0039575313147775185
catalyst_emb_245,0.0038730872535685077
product_1_smiles_emb_189,0.00374454948518511
solvent_1_emb_193,0.003729572175735433
solvent_1_emb_146,0.003717828116441972
solvent_1_emb_167,0.0036672873934083085
catalyst_emb_290,0.003653549684868228
catalyst_emb_613,0.0035988186353394726
base_emb_555,0.0035769107059032603
base_emb_164,0.0035674977665850283
catalyst_emb_267,0.0035185645109364907
solvent_1_emb_143,0.0035081383800543
solvent_1_emb_210,0.0035045505128507
solvent_1_emb_171,0.003459958783053722
solvent_1_emb_205,0.003424732450509283
base_emb_573,0.0034218175763175884
solvent_1_emb_155,0.003417359923125237
startingmat_1_smiles_emb_247,0.003400322717288221
catalyst_emb_264,0.0033755490144822603
product_1_smiles_emb_367,0.003369568066742404
base_emb_195,0.0033436794635270262
catalyst_emb_236,0.003263133072326749
catalyst_emb_260,0.0032153630385314473
solvent_1_emb_180,0.0031725350414338826
catalyst_emb_248,0.003131353090938686
base_emb_218,0.003125782875471296
solvent_1_emb_170,0.003119471081716901
base_emb_473,0.0030712527106545482
catalyst_emb_265,0.0030552327881166524
catalyst_emb_238,0.003046183428694256
solvent_1_emb_169,0.0029787736506542875
solvent_1_emb_160,0.0029706675336090295
base_emb_240,0.0028750374478448597
catalyst_emb_233,0.0028680904609176758
base_emb_194,0.0027237675576568766
catalyst_emb_239,0.0027213573308018458
base_emb_207,0.002685090333614503
base_emb_321,0.0026841663808459862
base_emb_202,0.002638493069054483
startingmat_1_smiles_emb_709,0.0026285068971244885
catalyst_emb_211,0.0026249864461287977
product_1_smiles_emb_5,0.002618139804135352
base_emb_197,0.002605475104430409
base_emb_221,0.002590612558409804
base_emb_254,0.002587805822933109
catalyst_emb_460,0.0025772070597959826
base_emb_577,0.002562963729696581
catalyst_emb_658,0.002558193351031123
base_emb_200,0.0025558218982378667
catalyst_emb_620,0.0025504085326183584
catalyst_emb_275,0.002450598252274736
product_1_smiles_emb_742,0.002420915246652336
catalyst_emb_15,0.0024071029126566793
solvent_1_emb_536,0.002402806785580966
solvent_1_emb_188,0.0023993981753463738
solvent_1_emb_557,0.002357817767784198
catalyst_emb_590,0.002352863066191912
product_1_smiles_emb_364,0.0023074048627632184
