component,importance
Product,0.33370302947005087
Catalyst,0.2606974000911009
Base,0.1813584350803057
Solvent 1,0.1365510740704401
Starting Material 1,0.0548532704069822
Starting Material 2,0.030121289069935584
Additives,0.0019949660485850933
Water,0.000720535762599623
