Unnamed: 0,reagent_type,reagent,count,reagent_type_numbered,embedding,morgan_fp
0,C,XPhos,254.0,C1,"2.0341446,-0.44772962,-0.23407999,-0.8738327,0.7292327,-1.4736893,0.96575445,-0.28850043,-0.38444087,-0.6554109,-1.1599855,-0.6803151,0.01861909,0.1545033,-0.8555952,0.41495493,0.21654423,1.3978498,0.53207064,1.9560874,-1.9308488,-0.64658463,0.22920698,0.8859308,0.7707849,-1.739465,1.2820728,1.6399205,-0.5887119,0.19432697,-1.5248704,-1.7367655,-0.42129946,0.08573937,0.005295962,1.151883,-0.7996495,-0.39687237,-0.47407046,-0.92565626,0.12021147,-3.3577604,-0.20070617,1.3754554,1.1151333,0.48857126,1.4747587,-1.1021392,0.9301632,0.042998526,-0.20510526,-2.423333,0.4652644,1.0446568,-0.15709853,0.21211253,-0.0379276,-1.4988178,0.77897614,-0.24488734,-1.6812886,1.4849634,-0.28603396,2.0201192,-0.35955784,-0.64611536,-1.7843444,0.7603314,-0.5824906,-0.1349566,-0.14505729,-0.23663755,0.99684834,-0.45881727,-1.2194407,-0.26699007,-0.62242055,1.2070724,0.69191736,0.6830217,-0.31899354,1.8989396,-0.9550165,0.3933939,-0.9443055,0.7629402,1.2840021,-0.102216035,1.0826951,0.5109088,0.9240204,0.038120843,-0.13391915,0.8483984,-1.0167632,-0.7630208,-0.35966322,-0.15948017,0.30736762,1.6265709,0.0914312,0.6238179,-0.32805997,1.1033835,1.515406,0.7023573,0.20818496,-0.60697645,-1.3471318,-0.7259251,-0.109121464,1.1135374,-0.6669162,0.53646964,-0.7019975,-1.891534,0.93888277,-1.0793247,-0.3042795,0.7098642,-1.152249,-0.79138166,-1.6999328,-0.8747993,-1.7207283,1.5474936,1.1740009,-0.73340034,-0.64214504,0.5131885,0.038055364,-1.1682808,-0.9064418,0.54616636,0.19764955,0.90357727,0.9106418,-0.8569972,-1.2589554,-0.35815054,0.4882789,0.89898586,-0.24695475,0.40652213,-1.0809354,-2.3551936,1.1027244,-1.6857442,0.6566657,0.4160678,-0.41114318,-1.027807,0.70151937,-0.57439524,0.9298324,0.2978152,3.2533762,0.95667255,-0.5777539,-1.0465492,1.169917,0.44211578,1.1785343,1.5245751,0.9416382,0.8976155,0.5489503,-0.038670942,0.40563875,0.66222554,-0.73338157,1.2275442,-0.8813676,-1.3986312,0.01141192,-0.6116917,0.15427057,0.16396122,1.3924645,0.8406093,-1.1602718,0.82803106,-0.69737303,0.0903024,1.0136471,-0.95848876,0.66669434,-0.05356962,-0.05629806,-0.6988326,0.9364314,0.7263658,-0.035630144,-1.6922175,1.5548441,0.20460728,0.44546476,-0.8218689,1.4709945,1.6510706,-0.77987176,0.88703966,0.1916798,0.29289472,0.2343858,-0.14644098,-0.69928026,0.59050614,-1.0872667,-0.12025892,-1.076746,-0.7597382,2.0846689,-0.57651734,1.6953522,-0.4485687,-0.18753469,0.80005574,0.14761513,-0.36328122,-0.15532948,0.36032996,0.53535,-0.044308156,-0.64750135,0.4067356,2.3473556,-0.7367602,-1.6871618,2.043933,1.8426657,-0.9649548,0.37400004,0.8151537,-1.2021449,1.0487667,-0.20630613,0.054062095,0.7075449,-0.59191746,0.88469917,0.92910266,-1.8056993,0.56826967,-0.89594364,-2.0240917,-0.32449368,0.1175903,-2.0140746,-1.5949128,-0.025213595,-0.81021875,1.395742,-0.68320036,-0.51237303,-1.3393497,0.6646003,-0.32473323,0.90283793,-0.03747571,0.17448531,-1.7567827,2.04672,0.48209542,-1.5002798,0.27157164,0.7194528,-0.8296042,-1.2688701,0.5058605,-0.17049134,0.4388507,0.16905665,1.560682,-0.14420156,0.04174272,0.12503667,-0.305091,1.3237762,0.21236122,0.9651677,-0.3701585,-0.3585216,-0.42445865,1.4651501,-0.052172124,-0.7060002,-0.5222402,-0.18137324,1.2460897,0.045491878,-1.7240453,1.5180502,1.9775594,0.06125281,0.5034719,0.7986886,-0.059364304,0.43158683,-0.57539046,0.45117524,-0.46450445,1.9243929,-0.5034775,-0.26613846,-1.1942401,-0.87079906,0.011748267,0.94502324,0.58479273,-1.7785726,0.5148617,-0.12476182,0.39172995,0.41654316,0.65341645,0.108475275,-0.20376271,0.41018146,1.0668678,0.032244276,-0.24448162,0.3866379,-0.2744351,-0.37888744,1.0277407,0.65467465,0.1969012,2.229182,-0.049797446,-1.3811703,-2.1102965,-0.8925608,0.6590099,-0.6951907,0.0504937,0.11969504,0.2901096,-0.10495312,-0.6709665,1.0288194,1.2996397,0.60031855,0.23875226,0.68694156,-0.43074816,1.0945916,0.5373407,1.5551836,0.14539796,-0.60357,-0.18724206,0.35190293,0.23708123,-2.0619645,-1.8290516,-0.2763566,0.8047222,0.12634405,0.6714978,1.1223445,-0.29179078,0.82474905,0.6797069,-1.1870835,0.3629736,0.5132264,0.6804507,-1.8010066,1.0184618,0.09979339,0.11345175,-0.56855667,-0.22840154,0.5851917,0.15522784,-0.6778362,-0.54071903,1.2237825,1.7782047,-1.4994779,0.49757752,-0.072373204,-0.26555467,-0.61062753,-0.25593734,-0.12518032,0.9066493,0.38649836,-1.1152947,1.0855939,-0.43941262,-0.41214144,-1.3505906,-0.36234117,1.3447672,0.24739318,1.5284259,0.9810947,1.2781173,-1.2269162,0.9987266,-0.10566438,-0.1118891,-0.9084191,-1.5707338,-1.8761092,-0.21913101,-1.2448965,0.6485125,1.7540232,1.6713401,-1.051512,-1.3635058,0.43403673,1.2173845,2.5924175,0.22782212,1.117257,0.7808047,-0.9896847,0.27655149,1.6892105,0.67873806,0.66471046,-0.0030246906,-1.6451454,1.7512493,-0.33464575,0.33690333,2.2218986,-1.7708873,0.963459,1.1720445,-0.7052347,-0.9511869,1.2431332,1.3439951,1.0017194,-0.096189655,-0.9092255,-0.3900844,2.0391853,-1.0353113,-0.09002895,-0.10646545,1.2823484,0.5035614,-1.9278451,1.0055656,-1.712066,0.49442214,0.65843844,-1.2033436,1.0089372,-0.8981127,0.75568795,1.705497,-0.92692477,0.06860682,-0.2508261,-0.220793,-0.46359608,-1.0210352,-0.102032356,-1.405027,-0.13432686,1.2405598,0.29730836,-0.36954245,-0.25497335,1.6931984,-0.8294841,-0.596174,-0.41988197,-1.2083647,1.148305,0.073632434,-0.53785384,-0.09754446,0.11193024,-0.17038228,-1.193493,-0.26307234,0.49102768,-0.70054364,1.1268841,-0.89855397,0.932834,0.074257664,-1.3059547,-1.7195463,-1.2361525,0.08041193,0.39208108,-0.30043975,-0.16974886,-0.6343393,-0.4133046,1.3068787,-0.3715774,2.8815124,-0.7026599,-0.45300102,1.2141782,0.6877392,1.0076683,-0.25566545,1.0167305,0.57112914,-1.2582344,0.7477634,-0.735991,-1.3347168,1.4906331,0.4819631,0.6522637,0.36660913,-0.5901164,1.3681655,0.70615375,-0.944157,0.9349114,-1.0856408,2.5519264,-1.4334716,-1.5413388,-0.508376,0.14880733,-0.92310905,1.6159438,1.1760294,-2.2187858,1.3995271,0.9540648,-1.9199588,-0.27682164,0.7696423,-0.15370987,-1.0142508,1.1356673,-0.08612674,-0.069574095,0.832298,-1.3500193,-0.13675468,0.39697185,-0.59692556,0.047717657,0.81686467,-0.34892023,0.4512708,-0.38543427,-1.1737695,-0.028157204,-1.5972017,-0.930521,-0.6497879,-1.8732917,1.126021,-0.9425779,1.1349319,-0.34898496,0.7544562,0.6314075,-1.4315562,-0.3775709,0.09746671,-0.5664604,-1.9481884,-0.6674769,0.73915464,-0.48310825,-1.2159976,-1.3494238,0.67255574,0.11987172,-0.8610886,-1.0327163,-1.1392192,1.2243773,0.96669483,0.64096415,-0.5088018,1.784774,-1.2992666,0.2763566,0.4217898,0.94064045,-1.0497316,-1.123365,0.35810247,-0.09283618,-0.32498,0.9318435,0.34111995,0.27571082,-1.2143838,0.48843217,-0.47142786,0.3870631,0.8601977,-0.4630564,2.1545153,-1.0816361,-0.9533854,-1.2983093,0.71005905,-0.54810804,-0.47338867,1.7466024,0.36829242,-1.5008941,-0.8371608,-1.8195513,0.7161047,-1.4498683,0.93110716,-1.3391863,0.32720092,0.80351216,-0.7308395,0.21850349,0.14816491,-0.32040077,-1.342632,-0.8367206,-0.98136073,-0.67424685,-0.5653779,-0.42852968,-0.24348594,-0.023718826,0.36441904,0.033391863,-0.7015358,1.6359991,1.1318831,-0.19968107,-0.10189734,-1.620141,-0.32694522,0.94328934,0.8421011,1.0878446,-1.5069395,0.087773,0.5879403,-0.8991027,-0.11355779,1.8036561,0.12316799,-0.20398265,2.5387342,1.2229805,-0.69159377,-1.048332,-1.1385471,-0.17596972,0.5464213,0.0013883152,0.093886234,-0.542978,2.5018444,0.15773354,-0.17695144,0.7242552,-0.16438511,-1.4880714,0.3840174,-1.4628756,0.3998751,-1.2852935,-1.0148582,-0.17784128,-2.1024597,-0.6836267,0.048135526,0.18515116,0.57312006,-0.21804208,1.375538,0.58132637,-2.3164625,-0.03571045,-0.9017047,-0.19203322,-1.0417632,-1.4939153,-1.4751245,-0.15053397,-0.38557115,-0.4917864,-1.4247726,-0.13535617,0.725673,-0.41619903,-0.4935498,-0.73231804,0.8281456,-0.92028975,0.17828311,-1.31218,0.7298438,0.5179357,0.6045694,1.035405,-0.8540905,0.33097196,-0.03031556,-0.30312568,-0.18408217,1.2131795,1.1694912,-0.17385007,1.4659629,-0.9590034,0.60818833,-0.21478556,1.6057665,2.4893885,0.9174077,1.9438217,-1.3918107,-0.5725869,-0.34467444,-0.49788797,0.48076642,-0.115481965,-0.56612176,0.35141325,0.37672442,-0.6687677,0.86539066,-1.620439,-1.6686621,1.8369857,0.30302334,-0.84098685,-3.684947,-1.1914498,-0.9676447,0.7066657,-0.5038872,0.71948797,0.16676268,-0.8000008,1.1719725,-1.0225327,-0.06451889,-1.5628481,2.1780398,0.25931385,1.3163084,-1.1739465,2.4073176,-0.8560737,0.04747194,1.3866311,-0.29356033,0.72765726,-2.0805302,0.122747734,-0.48507234,-0.93823576,-0.09796069,-0.9815342,0.14281908","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
1,C,IPENT Cl,239.0,C2,"3.1808405,1.7271353,-1.0607852,-0.7453043,-0.13972399,-1.0774304,0.12211181,-0.321708,-0.38844052,-0.2240207,-0.033925354,0.109800294,-0.7492827,1.3495454,0.11611764,0.34959555,-1.2494428,1.2530354,1.0960761,2.1123095,-1.0179223,-0.44770527,-0.4568464,0.004532974,1.100431,-1.9483511,1.7232913,1.0111367,0.2591807,-0.090632856,-0.9065687,-1.8227278,-1.037973,0.82430035,1.1703418,0.3871831,1.0442532,-0.9945003,-0.61322963,-0.23361908,-0.31452084,-2.3446703,-0.4249174,1.5050137,0.8047546,0.6871963,1.5682155,-0.78776664,0.58221596,0.28244045,-0.25735784,-0.53095627,0.8397926,-0.120637976,-0.597744,0.3919942,-0.03698481,-0.5841238,1.1879115,-0.6925182,-0.1775724,2.1074846,0.173238,2.1321037,-0.6471888,-1.1846292,-1.3467999,1.4686816,0.2778744,0.34681013,0.7875195,-0.99538785,1.8941138,-1.3561543,-0.024455227,-0.07585659,0.4869404,0.60526013,1.1976655,0.13360767,0.10843902,2.128836,-0.42092758,1.1600184,-0.4520774,1.0140227,0.30658895,-1.0438858,0.8129392,-0.30687088,1.1806525,-0.9648136,0.5217132,1.1707715,-1.2578017,0.8718269,0.3233222,-0.95759773,1.5447235,1.7471344,-0.17784213,0.73133105,-1.1957704,0.36933687,2.5787754,0.62817043,0.4716619,-0.9605833,-0.79167885,-0.6397312,0.29579738,-0.25288397,0.90280885,0.6913233,-0.15697423,-1.3615763,0.373595,0.034813933,-0.6495478,0.14486776,-1.6283627,-0.8396697,-0.9247416,0.28089538,-1.3936355,0.9389474,0.19556727,0.40118775,-0.3573907,0.012746821,0.70342547,-1.7911842,-0.47718334,0.20327085,0.5383396,0.24780528,0.47909346,-0.68822235,-1.9857024,-1.0671486,0.6301105,0.5887204,-0.16317207,-0.05543739,-0.04689825,-1.0973597,0.5602404,-1.5884427,0.82852954,0.19222963,-0.10279449,-0.63154835,0.37486345,-0.45575494,-0.22916524,-1.9605054,4.0535984,-0.3958557,-0.92820156,1.1382451,0.27384347,-1.0073473,0.9979324,0.9195101,1.7785114,0.5024881,0.45741615,-1.2258213,0.646123,0.3528522,-0.6935617,0.6784303,0.87595296,-0.5392494,0.4431612,-0.33814043,-0.31507608,1.4835085,1.9878126,1.3432182,-0.7379128,0.36313817,-0.92150974,0.040542986,0.47940773,-1.7234992,-0.368308,0.10310963,-0.32074124,-0.65523386,1.4043473,1.0076226,0.17743601,-0.8817298,-0.2795978,-1.0090688,1.3259863,-0.27006242,1.1910884,1.6688379,-0.20120652,1.2683653,0.5823489,-0.1693589,-0.7706209,1.2973284,0.24996394,-0.5518512,-2.467718,0.35662666,-0.45911998,0.30908662,0.58747476,-1.2630012,1.685592,-0.93342674,-0.38783133,0.70286345,-0.4311869,0.015907729,-0.8246776,-0.7825899,0.7651321,0.026143327,-0.7726106,2.0856857,2.6088383,-0.96693504,-1.8710178,-0.21721652,1.0229052,-1.368032,1.3108463,0.98330045,-1.0365056,-0.010181941,-1.2305315,-0.14362931,0.86751556,-0.42542523,0.18740946,1.4286007,-2.0219724,-0.34949824,-1.160898,-1.5055076,1.1116347,-0.9260193,-1.1382141,-0.95325816,0.22047056,-0.08019312,1.2178584,-1.3268081,-0.71914494,-0.68319005,0.3522659,-0.6734251,0.86840975,-0.5706703,0.5647502,-1.5818243,0.8183185,1.951444,-1.4172289,-0.10096351,-0.76828414,-0.443488,-0.6660788,-0.3139229,-1.0062876,0.029828748,1.6345419,0.16518496,-0.35413125,-1.0395458,0.079331525,0.9416761,0.7343491,1.2901214,-0.342751,-0.9399561,-0.7665241,1.9453292,1.6254696,-0.2043592,-0.88024175,-1.2019439,-1.0405799,0.64910483,-0.8277372,-0.12967685,0.4634398,1.5660324,-0.2910176,-0.60786295,1.1505196,1.2497449,0.11498733,-0.75095266,0.24394272,0.010589886,2.8416755,-0.08236101,1.2273886,-0.15116957,0.2547865,-0.6936298,0.30055243,0.90252435,-1.5878999,0.87167126,0.33594188,0.4239426,-0.78095776,1.2744081,0.38593617,0.16471758,1.2644603,1.1087784,-1.000123,-0.8230333,0.094119154,0.6813702,0.8346779,1.478474,-0.19400668,0.12202708,1.7311081,-0.103488564,-0.6423099,-0.9537867,-0.20779148,-0.6782819,-0.4321581,-0.3796745,-0.709938,0.37872887,0.8058498,0.40210712,-0.34864077,0.745197,0.3988893,1.0569217,0.37936676,0.15640338,0.34449834,0.44841853,1.0174899,-1.7818052,-0.28193313,-0.3033309,-0.45012364,-1.2720897,0.84260106,-1.81457,-0.41443744,0.51348525,0.2802373,-0.9616553,1.3045615,-0.21506537,-0.52195287,1.4103944,-0.9640411,0.28130844,1.6348705,-0.107061885,-1.9171127,0.83461595,-0.28485513,0.64477193,-0.33047915,-0.73791486,0.9209262,-0.7128564,-1.1418598,-0.93382514,2.3114285,2.1254084,-1.521866,-0.57895035,-0.4916829,0.10309025,0.80216223,-0.5401789,0.12866072,0.84168965,-0.12627237,-0.9374661,0.36004624,-0.28370216,-0.6487703,-0.28252608,0.264208,1.0965651,-1.0644239,1.4854473,0.65331113,1.2238927,-0.7754175,1.4756254,-0.3123267,-0.6171115,-1.0737942,-1.6362402,-1.5393676,-0.27507323,-1.1058834,1.1402315,0.58024925,1.2142929,-1.6864527,-0.3820121,-0.5883913,1.5056555,1.3337104,1.1535672,1.0919254,0.9417482,-0.63777417,0.4232903,1.1178814,0.08617957,0.5196892,-0.76926816,-1.4369371,2.057136,0.17900252,-0.28744417,1.1235259,-0.6708076,-0.8550379,1.1388988,-0.07457739,-0.6195032,0.14664109,0.36776245,0.88579434,-1.1425627,-0.789224,-1.0220945,1.3829582,-2.0092103,0.46232203,-0.03718059,0.6268381,-0.8413531,-0.5348694,-0.19083568,-0.866899,0.81266373,0.5272185,-1.1188525,0.81799954,-3.3801932,-0.07788771,1.7833794,-0.689676,-0.0064308564,-0.4404196,-0.3792467,-0.22421545,-0.84199727,-1.3901457,-1.7531241,0.000690626,0.9465201,0.9174215,0.45666274,-0.30675068,0.394806,-0.062415242,0.16451389,0.33206618,-0.29926553,1.3160964,-0.6662055,-1.5676754,-1.1947012,-0.48682114,0.53629404,-0.7498639,0.43350774,0.18615264,-0.7622529,1.0613863,0.7415861,1.5927285,0.62490886,-0.27770436,-0.5120873,-1.522741,0.34032178,0.57924795,-0.46479344,0.48915958,0.2688982,-0.13525066,0.99805444,-0.2738371,1.9426788,-0.24006948,-0.053203285,0.88002396,0.38295302,-0.10865811,-0.43137875,0.71752816,1.0326852,-0.5931802,1.8205867,-0.9097077,-0.23950581,2.6310005,-0.0010578574,1.869129,0.5745572,-1.7384799,-0.21882437,-0.73367774,-0.25758213,0.46582702,-0.66650015,1.2766591,-0.7823514,-2.101755,0.22999129,0.17891525,-1.2506015,2.2763631,2.0867152,-0.954111,0.48358142,0.2520441,-1.6861445,-0.033147868,-0.022065451,0.8788817,-0.6088279,0.9383345,-1.3642673,0.2378405,-0.22203152,-1.1283623,0.5908434,0.5204256,-0.51201075,-0.15352532,0.79839844,-1.2397443,0.63671756,-1.3886099,0.28004178,0.214092,-2.224078,-0.30106133,-0.08401857,-1.9304392,-0.10148445,-0.581358,0.51368845,0.6359996,-0.5923207,0.6649269,-1.5122045,-0.9062667,0.18878981,0.32121855,-0.6000993,-0.6178315,-0.6010272,0.6730397,-0.58129007,-1.8731405,0.55613554,-0.7030058,-0.58620024,-0.1190525,-0.47480118,1.0594827,-0.43695867,0.06055117,0.35613212,2.377315,-0.64373285,0.58940876,-0.6108447,-0.12110599,-0.501887,-1.9864728,0.34749824,0.53303295,0.073371805,1.6587775,-0.19067633,0.17412929,-0.6423856,0.45567498,-1.43158,1.1872164,-0.42251906,-0.85377985,3.4125097,-1.6651459,0.11560711,-1.0095978,0.5817933,-0.24929386,-0.41289037,1.146331,-1.1873945,0.10757216,0.18691838,-1.559039,-1.0651128,-1.0004703,0.52945966,-0.85823596,0.49298933,-0.05883736,0.3305882,0.13799421,2.0586972,0.31172952,0.08117506,-0.31887484,-0.99627304,-0.46317106,0.036889438,-0.7952194,-0.34984457,-0.21090631,-0.16585237,-0.20288089,-0.5032735,0.4909053,1.8465289,-0.37221822,-1.7834425,-0.21545537,1.200939,1.9171866,0.47544485,0.102708355,-1.9146615,-0.3446938,-0.13710356,-0.51408345,-0.37612236,2.1471467,0.4584907,2.050552,1.381193,0.6738719,-1.0378987,-0.8489942,-2.2480068,0.025061073,0.53515756,-1.3867918,0.22887656,-0.044831593,2.0026238,-0.15882266,0.29947528,0.2690152,-0.23988119,-0.29122183,0.79884845,0.06620169,-0.78296334,-0.35019973,0.22942698,1.3503718,-2.7741685,0.55040854,-0.7860573,-0.07616448,-0.016543614,0.24621587,0.9097857,0.6396417,-0.35984343,-0.4541002,-0.87135625,0.6025731,-0.504849,-0.6722161,-0.040336315,0.28207725,-0.5325614,-0.3127103,-2.122527,0.3029557,1.1876891,-0.8041128,-1.2833056,0.2858909,0.9414156,0.26063392,1.2484342,-2.2280004,1.2227604,0.5835469,-0.10871624,1.800352,-1.1023921,-0.5329037,-1.6277221,-1.3205613,0.05425767,-0.279576,1.155293,-0.22489078,0.9534319,-0.82318187,0.05784404,-0.84306186,1.0837705,0.51678926,-0.3188331,0.32300925,-1.5105999,-0.39890012,0.18318672,0.12340522,0.9633274,-0.20492762,-1.3419678,-0.25376186,-0.18274811,-0.17455214,0.2600628,-0.5295839,-1.354179,0.692233,0.9280065,-0.87594223,-3.5379155,0.5122537,-0.75727254,-1.6782038,-0.24126291,1.0798484,0.39373717,-1.7297411,1.4756429,-1.3282726,0.2937933,-0.8015021,1.5605383,-0.12154132,0.17596099,-2.4142747,0.7743699,-0.8568648,-1.3267229,1.6982067,-0.95638776,1.0720818,-1.8913702,0.6160277,-0.30341464,-1.7723006,0.17806447,-0.41679028,0.8698424","0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
